"","county","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black"
"124","Johnson","Misc",1447085,82560,94.7,52.4,3.2,28190,142006,118240,8666,199,8737,151,2996,3017,0.198512738898356,83.2640874329254,6.10255904680084
"125","Johnson","Brandy",617356,26245,94.7,52.4,3.2,28190,142006,118240,8666,199,8737,151,2996,3017,0.198512738898356,83.2640874329254,6.10255904680084
"126","Johnson","Tequila",1164141,67061,94.7,52.4,3.2,28190,142006,118240,8666,199,8737,151,2996,3017,0.198512738898356,83.2640874329254,6.10255904680084
"127","Johnson","Distilled Spirits",54407,3886,94.7,52.4,3.2,28190,142006,118240,8666,199,8737,151,2996,3017,0.198512738898356,83.2640874329254,6.10255904680084
"128","Johnson","Gin",683322,45391,94.7,52.4,3.2,28190,142006,118240,8666,199,8737,151,2996,3017,0.198512738898356,83.2640874329254,6.10255904680084
"129","Johnson","Vodka",4432845,347672,94.7,52.4,3.2,28190,142006,118240,8666,199,8737,151,2996,3017,0.198512738898356,83.2640874329254,6.10255904680084
"130","Johnson","Rum",1827454,131848,94.7,52.4,3.2,28190,142006,118240,8666,199,8737,151,2996,3017,0.198512738898356,83.2640874329254,6.10255904680084
"131","Johnson","Amaretto",52411,3982,94.7,52.4,3.2,28190,142006,118240,8666,199,8737,151,2996,3017,0.198512738898356,83.2640874329254,6.10255904680084
"132","Johnson","Schnapps",515505,36520,94.7,52.4,3.2,28190,142006,118240,8666,199,8737,151,2996,3017,0.198512738898356,83.2640874329254,6.10255904680084
"133","Buena Vista","Whisky",644457,44758,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,1.27791636096845,79.8190266568843,2.93959403277085
"134","Buena Vista","Misc",130400,7939,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,1.27791636096845,79.8190266568843,2.93959403277085
"135","Buena Vista","Vodka",307204,29151,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,1.27791636096845,79.8190266568843,2.93959403277085
"136","Buena Vista","Rum",245103,18131,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,1.27791636096845,79.8190266568843,2.93959403277085
"137","Buena Vista","Brandy",124708,5731,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,1.27791636096845,79.8190266568843,2.93959403277085
"138","Buena Vista","Tequila",121906,6446,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,1.27791636096845,79.8190266568843,2.93959403277085
"139","Buena Vista","Gin",44777,3887,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,1.27791636096845,79.8190266568843,2.93959403277085
"140","Buena Vista","Distilled Spirits",5261,243,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,1.27791636096845,79.8190266568843,2.93959403277085
"141","Buena Vista","Amaretto",5830,686,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,1.27791636096845,79.8190266568843,2.93959403277085
"142","Buena Vista","Schnapps",60064,4643,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,1.27791636096845,79.8190266568843,2.93959403277085
"143","Adams","Misc",13064,780,92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,7.81789638932496,97.331240188383,0.497121925693354
"144","Adams","Whisky",103643,7006,92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,7.81789638932496,97.331240188383,0.497121925693354
"145","Adams","Vodka",25321,2686,92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,7.81789638932496,97.331240188383,0.497121925693354
"146","Adams","Schnapps",7172,518,92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,7.81789638932496,97.331240188383,0.497121925693354
"147","Adams","Tequila",9413,712,92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,7.81789638932496,97.331240188383,0.497121925693354
"148","Adams","Distilled Spirits",1044,68,92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,7.81789638932496,97.331240188383,0.497121925693354
"149","Adams","Gin",2333,212,92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,7.81789638932496,97.331240188383,0.497121925693354
"150","Adams","Rum",14309,985,92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,7.81789638932496,97.331240188383,0.497121925693354
"151","Adams","Brandy",2900,249,92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,7.81789638932496,97.331240188383,0.497121925693354
"152","Adams","Amaretto",450,60,92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,7.81789638932496,97.331240188383,0.497121925693354
"153","Howard","Misc",65745,3818,88.9,13.2,3.7,29845,9430,9271,31,0,24,0,13,91,3.16489925768823,98.3138918345705,0.328738069989396
"154","Howard","Whisky",250703,18694,88.9,13.2,3.7,29845,9430,9271,31,0,24,0,13,91,3.16489925768823,98.3138918345705,0.328738069989396
