"","zipcode","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black","total.sale","total.volume","price"
"96","50627",91.5,24.4,3.2,28693,3327,3050,78,7,85,0,15,92,8.62428614367298,91.6741809437932,2.34445446348061,246243,21213,11.6081176636968
"97","51503",93.3,27.1,4.9,33612,37603,36089,491,76,239,0,153,555,0.89386485120868,95.973725500625,1.30574688189772,3543163,243920,14.5259224335848
"98","50320",87.7,20.3,5.3,29962,21603,15565,2669,77,1770,0,845,677,1.38693699949081,72.0501782159885,12.3547655418229,9539119,568269,16.7862737541552
"99","50014",97.3,65.7,5.1,11995,29725,25335,658,22,2513,11,143,1043,0.403532380151388,85.2312867956266,2.21362489486964,501822,35994,13.9418236372729
"100","50219",92.7,39.5,2.7,27224,13802,12941,122,23,270,0,158,288,1.9724677582959,93.7617736559919,0.883929865236922,868679,59452,14.6114344345018
"101","52411",97.3,52.6,1.1,55199,7456,7031,91,0,259,0,0,75,7.40329935622318,94.2998927038627,1.22049356223176,993837,63696,15.6028165033911
"102","51537",89.3,24.6,3.2,27222,6658,6240,47,6,31,0,201,133,4.08861519975969,93.7218383899069,0.705917693000901,741809,54083,13.7161215169277
"103","50677",95.7,35.2,2.7,25654,12078,11374,233,32,164,0,110,165,2.12402715681404,94.1712204007286,1.9291273389634,1378148,104029,13.2477289986446
"104","50833",94.7,20.1,4.1,30144,2259,2198,12,2,16,0,6,25,13.3439575033201,97.2996901283754,0.531208499335989,59589,4558,13.0734971478719
"105","50854",90.8,20,6.3,26834,2427,2309,8,8,21,0,57,24,11.05644829007,95.1380304903173,0.329625051503914,139272,10810,12.8836262719704
"106","50060",89.1,14,3.4,30000,2512,2476,18,12,4,0,0,2,11.9426751592357,98.5668789808917,0.71656050955414,94007,7196,13.0637854363535
"107","51250",87.7,35.8,0.4,25588,8391,7658,45,29,59,0,530,70,3.04945775235371,91.2644500059588,0.536288880943868,662400,48475,13.6647756575554
"108","51201",93.3,28.8,2.3,28718,6020,5602,21,7,77,0,222,91,4.77043189368771,93.0564784053156,0.348837209302326,799090,61969,12.8949958850393
"109","50263",98.6,55.5,1.1,45445,20205,18361,261,0,789,28,112,654,2.24919574362781,90.8735461519426,1.29175946547884,1203589,73232,16.435287852305
"110","50023",97.4,44.4,3.9,40065,33001,31196,386,0,451,0,12,956,1.21405411957213,94.5304687736735,1.16966152540832,1425776,90230,15.801573755957
"111","50144",87.5,14.9,7.2,24258,2703,2663,1,0,21,4,0,14,8.97447280799112,98.520162782094,0.0369959304476508,94188,6778,13.8961345529655
"112","50129",92.1,20.6,4.6,26028,4933,4807,12,9,32,5,0,68,5.27630245286844,97.4457733630651,0.243259679708088,359466,26847,13.3894289864789
"113","50313",83.9,15,8.6,26832,18300,15337,1438,30,655,0,375,465,1.46622950819672,83.8087431693989,7.85792349726776,544032,41300,13.1726876513317
"114","50323",99.6,66.4,3.2,62005,12678,11526,177,0,734,0,0,241,4.8907556396908,90.9133932796971,1.3961192617132,83314,5426,15.3545890158496
"115","50316",75.8,11.6,10,23177,17443,11449,3081,10,1258,14,687,944,1.32872785644671,65.6366450725219,17.6632460012612,1285334,75248,17.081304486498
"116","50325",94.9,54,3.3,45433,16937,15253,357,59,761,0,235,272,2.68247033122749,90.0572710633524,2.1078113007026,732924,48389,15.1465002376573
"117","51449",88.4,22.4,3.8,25239,2126,2066,27,0,12,0,0,21,11.8715898400753,97.1777986829727,1.26999059266228,115107,9743,11.8143282356564
"118","52537",87.1,18.3,4.4,28737,7186,7071,16,32,19,0,0,48,3.99902588366268,98.3996660172558,0.222655162816588,93510,7929,11.7934165720772
"119","50622",97.5,30.2,2.8,43902,3439,3384,7,0,34,0,0,14,12.7659203256761,98.4006978772899,0.203547542890375,89409,7201,12.4161921955284
"120","50054",95,18.9,9.6,33107,2908,2766,7,0,9,21,23,82,11.3848005502063,95.1169188445667,0.240715268225585,115358,9677,11.9208432365403
"121","50423",89.1,15.9,3.8,33407,2789,2715,19,3,5,0,23,24,11.9781283614199,97.346719254213,0.681247759053424,113067,10890,10.3826446280992
"122","50525",88.9,21.9,7.1,29799,3455,2939,24,0,49,0,387,56,8.62489146164978,85.0651230101303,0.694645441389291,136425,10753,12.6871570724449
"123","50003",95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95,6.06542869577833,97.6062672276222,0.464239083127811,306111,23762,12.882375220941
"124","50171",94,18,5.2,32981,2753,2695,29,0,5,0,0,24,11.9800217944061,97.8932074100981,1.05339629495096,234189,16765,13.9689233522219
"125","50428",93.8,25.7,2.1,30471,9424,9084,58,25,134,0,47,76,3.23334040747029,96.3921901528014,0.615449915110357,1638256,121490,13.4846983290806
"126","52057",90.7,19.1,2.4,31923,7555,7445,24,5,9,0,0,72,4.22541363335539,98.5440105890139,0.317670416942422,860886,63577,13.5408402409676
"127","51351",93.3,23,2.4,30515,4581,4478,17,15,0,0,36,35,6.66120934293822,97.7515826238812,0.371098013534163,1161633,83299,13.94534148069
"128","50466",87.7,11.5,6.4,32143,1723,1681,0,0,0,0,0,42,18.655252466628,97.5623911781776,0,27143,2409,11.2673308426733
"129","52738",76.1,10.4,5,30006,3789,3118,112,12,353,0,175,19,7.91923990498812,82.2908419107944,2.95592504618633,130085,8854,14.6922295007906
"130","52301",90.9,13.4,1.8,27132,3904,3786,30,0,0,3,40,45,6.94979508196721,96.9774590163934,0.76844262295082,287040,25677,11.1788760369202
