"","city","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black"
"83","Keokuk","Vodka",417977,38449,89.4,15.1,10.3,24935,10628,9333,528,43,82,0,122,520,2.34616108392924,87.8152051185548,4.9680090327437
"84","Keokuk","Tequila",126511,7003,89.4,15.1,10.3,24935,10628,9333,528,43,82,0,122,520,2.34616108392924,87.8152051185548,4.9680090327437
"85","Keokuk","Schnapps",162382,12078,89.4,15.1,10.3,24935,10628,9333,528,43,82,0,122,520,2.34616108392924,87.8152051185548,4.9680090327437
"86","Keokuk","Brandy",42891,2659,89.4,15.1,10.3,24935,10628,9333,528,43,82,0,122,520,2.34616108392924,87.8152051185548,4.9680090327437
"87","Keokuk","Gin",34091,2928,89.4,15.1,10.3,24935,10628,9333,528,43,82,0,122,520,2.34616108392924,87.8152051185548,4.9680090327437
"88","Keokuk","Distilled Spirits",24655,2898,89.4,15.1,10.3,24935,10628,9333,528,43,82,0,122,520,2.34616108392924,87.8152051185548,4.9680090327437
"89","Sac City","Misc",18973,1196,92.7,18.9,5.4,26389,2185,2111,6,0,0,0,2,66,12.0773455377574,96.6132723112128,0.274599542334096
"90","Sac City","Vodka",52010,5387,92.7,18.9,5.4,26389,2185,2111,6,0,0,0,2,66,12.0773455377574,96.6132723112128,0.274599542334096
"91","Sac City","Tequila",16000,963,92.7,18.9,5.4,26389,2185,2111,6,0,0,0,2,66,12.0773455377574,96.6132723112128,0.274599542334096
"92","Sac City","Whisky",139390,11544,92.7,18.9,5.4,26389,2185,2111,6,0,0,0,2,66,12.0773455377574,96.6132723112128,0.274599542334096
"93","Sac City","Rum",48721,3405,92.7,18.9,5.4,26389,2185,2111,6,0,0,0,2,66,12.0773455377574,96.6132723112128,0.274599542334096
"94","Sac City","Distilled Spirits",2645,283,92.7,18.9,5.4,26389,2185,2111,6,0,0,0,2,66,12.0773455377574,96.6132723112128,0.274599542334096
"95","Sac City","Gin",4814,404,92.7,18.9,5.4,26389,2185,2111,6,0,0,0,2,66,12.0773455377574,96.6132723112128,0.274599542334096
"96","Sac City","Brandy",6992,652,92.7,18.9,5.4,26389,2185,2111,6,0,0,0,2,66,12.0773455377574,96.6132723112128,0.274599542334096
"97","Sac City","Amaretto",2444,352,92.7,18.9,5.4,26389,2185,2111,6,0,0,0,2,66,12.0773455377574,96.6132723112128,0.274599542334096
"98","Sac City","Schnapps",13816,1224,92.7,18.9,5.4,26389,2185,2111,6,0,0,0,2,66,12.0773455377574,96.6132723112128,0.274599542334096
"99","Clarinda","Misc",38791,2593,88.8,23.5,5.2,25348,5431,4978,306,19,29,0,34,65,4.66728042717732,91.6589946602836,5.63432148775548
"100","Clarinda","Amaretto",2083,181,88.8,23.5,5.2,25348,5431,4978,306,19,29,0,34,65,4.66728042717732,91.6589946602836,5.63432148775548
"101","Clarinda","Whisky",185204,11390,88.8,23.5,5.2,25348,5431,4978,306,19,29,0,34,65,4.66728042717732,91.6589946602836,5.63432148775548
"102","Clarinda","Brandy",4378,357,88.8,23.5,5.2,25348,5431,4978,306,19,29,0,34,65,4.66728042717732,91.6589946602836,5.63432148775548
"103","Clarinda","Vodka",63641,6086,88.8,23.5,5.2,25348,5431,4978,306,19,29,0,34,65,4.66728042717732,91.6589946602836,5.63432148775548
"104","Clarinda","Tequila",21346,1406,88.8,23.5,5.2,25348,5431,4978,306,19,29,0,34,65,4.66728042717732,91.6589946602836,5.63432148775548
"105","Clarinda","Distilled Spirits",3386,242,88.8,23.5,5.2,25348,5431,4978,306,19,29,0,34,65,4.66728042717732,91.6589946602836,5.63432148775548
"106","Clarinda","Gin",6867,714,88.8,23.5,5.2,25348,5431,4978,306,19,29,0,34,65,4.66728042717732,91.6589946602836,5.63432148775548
"107","Clarinda","Rum",60422,4092,88.8,23.5,5.2,25348,5431,4978,306,19,29,0,34,65,4.66728042717732,91.6589946602836,5.63432148775548
"108","Clarinda","Schnapps",15440,1149,88.8,23.5,5.2,25348,5431,4978,306,19,29,0,34,65,4.66728042717732,91.6589946602836,5.63432148775548
"109","Winterset","Misc",50883,3334,91.5,16.3,7.6,31022,5158,4979,1,0,146,0,26,6,6.01434664598682,96.5296626599457,0.019387359441644
"110","Winterset","Amaretto",1501,156,91.5,16.3,7.6,31022,5158,4979,1,0,146,0,26,6,6.01434664598682,96.5296626599457,0.019387359441644
"111","Winterset","Whisky",249959,16216,91.5,16.3,7.6,31022,5158,4979,1,0,146,0,26,6,6.01434664598682,96.5296626599457,0.019387359441644
"112","Winterset","Tequila",35575,2768,91.5,16.3,7.6,31022,5158,4979,1,0,146,0,26,6,6.01434664598682,96.5296626599457,0.019387359441644
"113","Winterset","Vodka",125452,12384,91.5,16.3,7.6,31022,5158,4979,1,0,146,0,26,6,6.01434664598682,96.5296626599457,0.019387359441644
"114","Winterset","Brandy",9143,686,91.5,16.3,7.6,31022,5158,4979,1,0,146,0,26,6,6.01434664598682,96.5296626599457,0.019387359441644
"115","Winterset","Rum",69049,5024,91.5,16.3,7.6,31022,5158,4979,1,0,146,0,26,6,6.01434664598682,96.5296626599457,0.019387359441644
"116","Winterset","Schnapps",18401,1233,91.5,16.3,7.6,31022,5158,4979,1,0,146,0,26,6,6.01434664598682,96.5296626599457,0.019387359441644
"117","Winterset","Distilled Spirits",4880,368,91.5,16.3,7.6,31022,5158,4979,1,0,146,0,26,6,6.01434664598682,96.5296626599457,0.019387359441644
"118","Winterset","Gin",11558,945,91.5,16.3,7.6,31022,5158,4979,1,0,146,0,26,6,6.01434664598682,96.5296626599457,0.019387359441644
"119","Spirit Lake","Gin",70165,5131,95.5,29.2,2.9,31108,4992,4831,14,16,22,0,12,97,6.23157051282051,96.7748397435898,0.280448717948718
"120","Spirit Lake","Misc",193517,11912,95.5,29.2,2.9,31108,4992,4831,14,16,22,0,12,97,6.23157051282051,96.7748397435898,0.280448717948718
"121","Spirit Lake","Whisky",730796,50561,95.5,29.2,2.9,31108,4992,4831,14,16,22,0,12,97,6.23157051282051,96.7748397435898,0.280448717948718
"122","Spirit Lake","Vodka",510885,47269,95.5,29.2,2.9,31108,4992,4831,14,16,22,0,12,97,6.23157051282051,96.7748397435898,0.280448717948718
"123","Spirit Lake","Brandy",29959,2145,95.5,29.2,2.9,31108,4992,4831,14,16,22,0,12,97,6.23157051282051,96.7748397435898,0.280448717948718
"124","Spirit Lake","Rum",370199,26078,95.5,29.2,2.9,31108,4992,4831,14,16,22,0,12,97,6.23157051282051,96.7748397435898,0.280448717948718
"125","Spirit Lake","Tequila",113339,8131,95.5,29.2,2.9,31108,4992,4831,14,16,22,0,12,97,6.23157051282051,96.7748397435898,0.280448717948718
"126","Spirit Lake","Distilled Spirits",19731,2211,95.5,29.2,2.9,31108,4992,4831,14,16,22,0,12,97,6.23157051282051,96.7748397435898,0.280448717948718
"127","Spirit Lake","Amaretto",6929,743,95.5,29.2,2.9,31108,4992,4831,14,16,22,0,12,97,6.23157051282051,96.7748397435898,0.280448717948718
"128","Spirit Lake","Schnapps",94133,6423,95.5,29.2,2.9,31108,4992,4831,14,16,22,0,12,97,6.23157051282051,96.7748397435898,0.280448717948718
"129","Altoona","Misc",214560,12823,94.5,31.2,4.7,40522,16692,16026,122,13,189,0,7,335,2.42763000239636,96.0100647016535,0.730889048646058
"130","Altoona","Whisky",738673,43028,94.5,31.2,4.7,40522,16692,16026,122,13,189,0,7,335,2.42763000239636,96.0100647016535,0.730889048646058
"131","Altoona","Tequila",145529,10411,94.5,31.2,4.7,40522,16692,16026,122,13,189,0,7,335,2.42763000239636,96.0100647016535,0.730889048646058
"132","Altoona","Gin",49068,3513,94.5,31.2,4.7,40522,16692,16026,122,13,189,0,7,335,2.42763000239636,96.0100647016535,0.730889048646058
"133","Altoona","Vodka",599751,50122,94.5,31.2,4.7,40522,16692,16026,122,13,189,0,7,335,2.42763000239636,96.0100647016535,0.730889048646058
"134","Altoona","Rum",341864,24537,94.5,31.2,4.7,40522,16692,16026,122,13,189,0,7,335,2.42763000239636,96.0100647016535,0.730889048646058
"135","Altoona","Brandy",36787,2086,94.5,31.2,4.7,40522,16692,16026,122,13,189,0,7,335,2.42763000239636,96.0100647016535,0.730889048646058
"136","Altoona","Amaretto",10629,899,94.5,31.2,4.7,40522,16692,16026,122,13,189,0,7,335,2.42763000239636,96.0100647016535,0.730889048646058
"137","Altoona","Schnapps",64271,4759,94.5,31.2,4.7,40522,16692,16026,122,13,189,0,7,335,2.42763000239636,96.0100647016535,0.730889048646058
"138","Perry","Whisky",203976,15786,77.8,13.3,2.4,25372,7876,6839,171,9,104,0,558,195,3.22143219908583,86.8334179786694,2.17115286947689
"139","Perry","Rum",85832,6157,77.8,13.3,2.4,25372,7876,6839,171,9,104,0,558,195,3.22143219908583,86.8334179786694,2.17115286947689
"140","Perry","Misc",35752,2547,77.8,13.3,2.4,25372,7876,6839,171,9,104,0,558,195,3.22143219908583,86.8334179786694,2.17115286947689
"141","Perry","Schnapps",14769,1207,77.8,13.3,2.4,25372,7876,6839,171,9,104,0,558,195,3.22143219908583,86.8334179786694,2.17115286947689
"142","Iowa City","Whisky",3059868,161071,94.9,59.9,4.4,18553,72385,57006,5108,176,5906,151,2160,1878,0.256310008979761,78.7538854735097,7.05671064447054
