,city,category,sale.dollars,sale.volume,high.school,bachelor,unemployment,income,Average Income,population,Sale Per Person,Volume Sale Per Person,pop.white,pop.black,pop.indian,pop.asian,pop.hawai,pop.other,pop.multi,income_per_capita,prop_white,prop_black
108,Clarinda,Schnapps,15440,1149,88.8,23.5,5.2,25348,4.667280427,5431,2.842938685,0.211563248,4978,306,19,29,0,34,65,4.667280427,91.65899466,5.634321488
109,Winterset,Misc,50883,3334,91.5,16.3,7.6,31022,6.014346646,5158,9.864870105,0.646374564,4979,1,0,146,0,26,6,6.014346646,96.52966266,0.019387359
110,Winterset,Amaretto,1501,156,91.5,16.3,7.6,31022,6.014346646,5158,0.291004265,0.030244281,4979,1,0,146,0,26,6,6.014346646,96.52966266,0.019387359
111,Winterset,Whisky,249959,16216,91.5,16.3,7.6,31022,6.014346646,5158,48.46044979,3.143854207,4979,1,0,146,0,26,6,6.014346646,96.52966266,0.019387359
112,Winterset,Tequila,35575,2768,91.5,16.3,7.6,31022,6.014346646,5158,6.897053121,0.536642109,4979,1,0,146,0,26,6,6.014346646,96.52966266,0.019387359
113,Winterset,Vodka,125452,12384,91.5,16.3,7.6,31022,6.014346646,5158,24.32183017,2.400930593,4979,1,0,146,0,26,6,6.014346646,96.52966266,0.019387359
114,Winterset,Brandy,9143,686,91.5,16.3,7.6,31022,6.014346646,5158,1.772586274,0.132997286,4979,1,0,146,0,26,6,6.014346646,96.52966266,0.019387359
115,Winterset,Rum,69049,5024,91.5,16.3,7.6,31022,6.014346646,5158,13.38677782,0.974020938,4979,1,0,146,0,26,6,6.014346646,96.52966266,0.019387359
116,Winterset,Schnapps,18401,1233,91.5,16.3,7.6,31022,6.014346646,5158,3.567468011,0.239046142,4979,1,0,146,0,26,6,6.014346646,96.52966266,0.019387359
117,Winterset,Distilled Spirits,4880,368,91.5,16.3,7.6,31022,6.014346646,5158,0.946103141,0.071345483,4979,1,0,146,0,26,6,6.014346646,96.52966266,0.019387359
118,Winterset,Gin,11558,945,91.5,16.3,7.6,31022,6.014346646,5158,2.240791004,0.183210547,4979,1,0,146,0,26,6,6.014346646,96.52966266,0.019387359
119,Spirit Lake,Gin,70165,5131,95.5,29.2,2.9,31108,6.231570513,4992,14.05548878,1.027844551,4831,14,16,22,0,12,97,6.231570513,96.77483974,0.280448718
120,Spirit Lake,Misc,193517,11912,95.5,29.2,2.9,31108,6.231570513,4992,38.76542468,2.386217949,4831,14,16,22,0,12,97,6.231570513,96.77483974,0.280448718
121,Spirit Lake,Whisky,730796,50561,95.5,29.2,2.9,31108,6.231570513,4992,146.3934295,10.12840545,4831,14,16,22,0,12,97,6.231570513,96.77483974,0.280448718
122,Spirit Lake,Vodka,510885,47269,95.5,29.2,2.9,31108,6.231570513,4992,102.3407452,9.468950321,4831,14,16,22,0,12,97,6.231570513,96.77483974,0.280448718
123,Spirit Lake,Brandy,29959,2145,95.5,29.2,2.9,31108,6.231570513,4992,6.001402244,0.4296875,4831,14,16,22,0,12,97,6.231570513,96.77483974,0.280448718
124,Spirit Lake,Rum,370199,26078,95.5,29.2,2.9,31108,6.231570513,4992,74.15845353,5.223958333,4831,14,16,22,0,12,97,6.231570513,96.77483974,0.280448718
125,Spirit Lake,Tequila,113339,8131,95.5,29.2,2.9,31108,6.231570513,4992,22.7041266,1.62880609,4831,14,16,22,0,12,97,6.231570513,96.77483974,0.280448718
126,Spirit Lake,Distilled Spirits,19731,2211,95.5,29.2,2.9,31108,6.231570513,4992,3.952524038,0.442908654,4831,14,16,22,0,12,97,6.231570513,96.77483974,0.280448718
127,Spirit Lake,Amaretto,6929,743,95.5,29.2,2.9,31108,6.231570513,4992,1.388020833,0.148838141,4831,14,16,22,0,12,97,6.231570513,96.77483974,0.280448718
128,Spirit Lake,Schnapps,94133,6423,95.5,29.2,2.9,31108,6.231570513,4992,18.85677083,1.286658654,4831,14,16,22,0,12,97,6.231570513,96.77483974,0.280448718
129,Altoona,Misc,214560,12823,94.5,31.2,4.7,40522,2.427630002,16692,12.85406183,0.768212317,16026,122,13,189,0,7,335,2.427630002,96.0100647,0.730889049
130,Altoona,Whisky,738673,43028,94.5,31.2,4.7,40522,2.427630002,16692,44.25311526,2.577761802,16026,122,13,189,0,7,335,2.427630002,96.0100647,0.730889049
131,Altoona,Tequila,145529,10411,94.5,31.2,4.7,40522,2.427630002,16692,8.718487898,0.623711958,16026,122,13,189,0,7,335,2.427630002,96.0100647,0.730889049
132,Altoona,Gin,49068,3513,94.5,31.2,4.7,40522,2.427630002,16692,2.93961179,0.210460101,16026,122,13,189,0,7,335,2.427630002,96.0100647,0.730889049
133,Altoona,Vodka,599751,50122,94.5,31.2,4.7,40522,2.427630002,16692,35.93044572,3.002755811,16026,122,13,189,0,7,335,2.427630002,96.0100647,0.730889049
134,Altoona,Rum,341864,24537,94.5,31.2,4.7,40522,2.427630002,16692,20.48070932,1.469985622,16026,122,13,189,0,7,335,2.427630002,96.0100647,0.730889049
135,Altoona,Brandy,36787,2086,94.5,31.2,4.7,40522,2.427630002,16692,2.203870117,0.124970046,16026,122,13,189,0,7,335,2.427630002,96.0100647,0.730889049
136,Altoona,Amaretto,10629,899,94.5,31.2,4.7,40522,2.427630002,16692,0.636772106,0.053858136,16026,122,13,189,0,7,335,2.427630002,96.0100647,0.730889049
137,Altoona,Schnapps,64271,4759,94.5,31.2,4.7,40522,2.427630002,16692,3.850407381,0.285106638,16026,122,13,189,0,7,335,2.427630002,96.0100647,0.730889049
138,Perry,Whisky,203976,15786,77.8,13.3,2.4,25372,3.221432199,7876,25.8984256,2.004316912,6839,171,9,104,0,558,195,3.221432199,86.83341798,2.171152869
139,Perry,Rum,85832,6157,77.8,13.3,2.4,25372,3.221432199,7876,10.89791772,0.781742001,6839,171,9,104,0,558,195,3.221432199,86.83341798,2.171152869
140,Perry,Misc,35752,2547,77.8,13.3,2.4,25372,3.221432199,7876,4.539360081,0.323387506,6839,171,9,104,0,558,195,3.221432199,86.83341798,2.171152869
141,Perry,Schnapps,14769,1207,77.8,13.3,2.4,25372,3.221432199,7876,1.875190452,0.153250381,6839,171,9,104,0,558,195,3.221432199,86.83341798,2.171152869
142,Iowa City,Whisky,3059868,161071,94.9,59.9,4.4,18553,0.256310009,72385,42.2721282,2.225198591,57006,5108,176,5906,151,2160,1878,0.256310009,78.75388547,7.056710644
143,Iowa City,Misc,819553,48671,94.9,59.9,4.4,18553,0.256310009,72385,11.32213856,0.672390689,57006,5108,176,5906,151,2160,1878,0.256310009,78.75388547,7.056710644
144,Iowa City,Brandy,365994,15473,94.9,59.9,4.4,18553,0.256310009,72385,5.056213304,0.213759757,57006,5108,176,5906,151,2160,1878,0.256310009,78.75388547,7.056710644
145,Iowa City,Tequila,665159,38294,94.9,59.9,4.4,18553,0.256310009,72385,9.189182842,0.529032258,57006,5108,176,5906,151,2160,1878,0.256310009,78.75388547,7.056710644
146,Iowa City,Distilled Spirits,35563,2825,94.9,59.9,4.4,18553,0.256310009,72385,0.491303447,0.039027423,57006,5108,176,5906,151,2160,1878,0.256310009,78.75388547,7.056710644
147,Iowa City,Gin,423733,29846,94.9,59.9,4.4,18553,0.256310009,72385,5.853878566,0.412322995,57006,5108,176,5906,151,2160,1878,0.256310009,78.75388547,7.056710644
148,Iowa City,Vodka,2730885,221374,94.9,59.9,4.4,18553,0.256310009,72385,37.72722249,3.058285556,57006,5108,176,5906,151,2160,1878,0.256310009,78.75388547,7.056710644
149,Iowa City,Rum,1077310,80972,94.9,59.9,4.4,18553,0.256310009,72385,14.88305588,1.11862955,57006,5108,176,5906,151,2160,1878,0.256310009,78.75388547,7.056710644
150,Iowa City,Amaretto,26802,2263,94.9,59.9,4.4,18553,0.256310009,72385,0.370270084,0.031263383,57006,5108,176,5906,151,2160,1878,0.256310009,78.75388547,7.056710644
151,Iowa City,Schnapps,327220,23897,94.9,59.9,4.4,18553,0.256310009,72385,4.520549838,0.330137459,57006,5108,176,5906,151,2160,1878,0.256310009,78.75388547,7.056710644
152,Storm Lake,Whisky,598877,41254,65.6,15.4,5.8,21889,2.032782318,10768,55.6163633,3.831166419,7195,544,0,1638,223,962,206,2.032782318,66.81835067,5.052005944
153,Storm Lake,Misc,124911,7655,65.6,15.4,5.8,21889,2.032782318,10768,11.60020431,0.710902675,7195,544,0,1638,223,962,206,2.032782318,66.81835067,5.052005944
