"","zipcode","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black"
"92","50583","Whisky",139390,11544,92.6,17.9,4.7,30703,2878,2804,6,0,0,0,2,66,10.6681723419041,97.4287699791522,0.208478109798471
"93","50583","Rum",48721,3405,92.6,17.9,4.7,30703,2878,2804,6,0,0,0,2,66,10.6681723419041,97.4287699791522,0.208478109798471
"94","50583","Distilled Spirits",2645,283,92.6,17.9,4.7,30703,2878,2804,6,0,0,0,2,66,10.6681723419041,97.4287699791522,0.208478109798471
"95","50583","Gin",4814,404,92.6,17.9,4.7,30703,2878,2804,6,0,0,0,2,66,10.6681723419041,97.4287699791522,0.208478109798471
"96","50583","Brandy",6992,652,92.6,17.9,4.7,30703,2878,2804,6,0,0,0,2,66,10.6681723419041,97.4287699791522,0.208478109798471
"97","50583","Amaretto",2444,352,92.6,17.9,4.7,30703,2878,2804,6,0,0,0,2,66,10.6681723419041,97.4287699791522,0.208478109798471
"98","50583","Schnapps",13816,1224,92.6,17.9,4.7,30703,2878,2804,6,0,0,0,2,66,10.6681723419041,97.4287699791522,0.208478109798471
"99","51632","Misc",38791,2593,89.9,23.4,4.9,28054,7168,6679,306,19,39,0,34,91,3.91378348214286,93.1780133928571,4.26897321428571
"100","51632","Amaretto",2083,181,89.9,23.4,4.9,28054,7168,6679,306,19,39,0,34,91,3.91378348214286,93.1780133928571,4.26897321428571
"101","51632","Whisky",185204,11390,89.9,23.4,4.9,28054,7168,6679,306,19,39,0,34,91,3.91378348214286,93.1780133928571,4.26897321428571
"102","51632","Brandy",4378,357,89.9,23.4,4.9,28054,7168,6679,306,19,39,0,34,91,3.91378348214286,93.1780133928571,4.26897321428571
"103","51632","Vodka",63641,6086,89.9,23.4,4.9,28054,7168,6679,306,19,39,0,34,91,3.91378348214286,93.1780133928571,4.26897321428571
"104","51632","Tequila",21346,1406,89.9,23.4,4.9,28054,7168,6679,306,19,39,0,34,91,3.91378348214286,93.1780133928571,4.26897321428571
"105","51632","Distilled Spirits",3386,242,89.9,23.4,4.9,28054,7168,6679,306,19,39,0,34,91,3.91378348214286,93.1780133928571,4.26897321428571
"106","51632","Gin",6867,714,89.9,23.4,4.9,28054,7168,6679,306,19,39,0,34,91,3.91378348214286,93.1780133928571,4.26897321428571
"107","51632","Rum",60422,4092,89.9,23.4,4.9,28054,7168,6679,306,19,39,0,34,91,3.91378348214286,93.1780133928571,4.26897321428571
"108","51632","Schnapps",15440,1149,89.9,23.4,4.9,28054,7168,6679,306,19,39,0,34,91,3.91378348214286,93.1780133928571,4.26897321428571
"109","50273","Misc",50883,3334,93.6,23.4,6,35779,8342,8141,1,0,146,0,26,28,4.2890194198034,97.5905058738911,0.0119875329657157
"110","50273","Amaretto",1501,156,93.6,23.4,6,35779,8342,8141,1,0,146,0,26,28,4.2890194198034,97.5905058738911,0.0119875329657157
"111","50273","Whisky",249959,16216,93.6,23.4,6,35779,8342,8141,1,0,146,0,26,28,4.2890194198034,97.5905058738911,0.0119875329657157
"112","50273","Tequila",35575,2768,93.6,23.4,6,35779,8342,8141,1,0,146,0,26,28,4.2890194198034,97.5905058738911,0.0119875329657157
"113","50273","Vodka",125452,12384,93.6,23.4,6,35779,8342,8141,1,0,146,0,26,28,4.2890194198034,97.5905058738911,0.0119875329657157
"114","50273","Brandy",9143,686,93.6,23.4,6,35779,8342,8141,1,0,146,0,26,28,4.2890194198034,97.5905058738911,0.0119875329657157
"115","50273","Rum",69049,5024,93.6,23.4,6,35779,8342,8141,1,0,146,0,26,28,4.2890194198034,97.5905058738911,0.0119875329657157
"116","50273","Schnapps",18401,1233,93.6,23.4,6,35779,8342,8141,1,0,146,0,26,28,4.2890194198034,97.5905058738911,0.0119875329657157
"117","50273","Distilled Spirits",4880,368,93.6,23.4,6,35779,8342,8141,1,0,146,0,26,28,4.2890194198034,97.5905058738911,0.0119875329657157
"118","50273","Gin",11558,945,93.6,23.4,6,35779,8342,8141,1,0,146,0,26,28,4.2890194198034,97.5905058738911,0.0119875329657157
"119","51360","Gin",70165,5131,96.7,33.2,2.5,33635,8346,8152,26,18,25,16,12,97,4.03007428708363,97.6755331895519,0.311526479750779
"120","51360","Misc",193517,11912,96.7,33.2,2.5,33635,8346,8152,26,18,25,16,12,97,4.03007428708363,97.6755331895519,0.311526479750779
"121","51360","Whisky",730796,50561,96.7,33.2,2.5,33635,8346,8152,26,18,25,16,12,97,4.03007428708363,97.6755331895519,0.311526479750779
"122","51360","Vodka",510885,47269,96.7,33.2,2.5,33635,8346,8152,26,18,25,16,12,97,4.03007428708363,97.6755331895519,0.311526479750779
"123","51360","Brandy",29959,2145,96.7,33.2,2.5,33635,8346,8152,26,18,25,16,12,97,4.03007428708363,97.6755331895519,0.311526479750779
