,city,category,sale.dollars,sale.volume,high.school,bachelor,unemployment,income,Average Income,population,Sale Per Person,pop.white,pop.black,pop.indian,pop.asian,pop.hawai,pop.other,pop.multi,income_per_capita,prop_white,prop_black
3208,Elma,Whisky,23991,1803,92.3,12,0.8,30819,54.83807829,562,42.6886121,560,0,0,0,0,0,2,54.83807829,99.64412811,0
3209,Elma,Gin,329,30,92.3,12,0.8,30819,54.83807829,562,0.585409253,560,0,0,0,0,0,2,54.83807829,99.64412811,0
3210,Elma,Vodka,13836,1433,92.3,12,0.8,30819,54.83807829,562,24.61921708,560,0,0,0,0,0,2,54.83807829,99.64412811,0
3211,Elma,Brandy,4462,409,92.3,12,0.8,30819,54.83807829,562,7.939501779,560,0,0,0,0,0,2,54.83807829,99.64412811,0
3212,Elma,Tequila,1577,117,92.3,12,0.8,30819,54.83807829,562,2.806049822,560,0,0,0,0,0,2,54.83807829,99.64412811,0
3213,Elma,Amaretto,142,20,92.3,12,0.8,30819,54.83807829,562,0.252669039,560,0,0,0,0,0,2,54.83807829,99.64412811,0
3214,Elma,Schnapps,9261,830,92.3,12,0.8,30819,54.83807829,562,16.47864769,560,0,0,0,0,0,2,54.83807829,99.64412811,0
3215,Elma,Distilled Spirits,440,21,92.3,12,0.8,30819,54.83807829,562,0.782918149,560,0,0,0,0,0,2,54.83807829,99.64412811,0
3216,Hudson,Rum,5738,364,98.3,34.5,4.7,41672,17.26263463,2414,2.376967688,2392,0,0,11,0,11,0,17.26263463,99.08864954,0
3217,Hudson,Whisky,15449,890,98.3,34.5,4.7,41672,17.26263463,2414,6.39975145,2392,0,0,11,0,11,0,17.26263463,99.08864954,0
3218,Hudson,Gin,377,34,98.3,34.5,4.7,41672,17.26263463,2414,0.156172328,2392,0,0,11,0,11,0,17.26263463,99.08864954,0
3219,Hudson,Vodka,7292,788,98.3,34.5,4.7,41672,17.26263463,2414,3.02071251,2392,0,0,11,0,11,0,17.26263463,99.08864954,0
3220,Hudson,Brandy,352,22,98.3,34.5,4.7,41672,17.26263463,2414,0.145816073,2392,0,0,11,0,11,0,17.26263463,99.08864954,0
